name,rank,value
Rudy Gobert,1, 36.5
Nikola Jokić,2, 36.0
Jusuf Nurkić,3, 32.3
Clint Capela,4, 32.2
Nikola Vučević,5, 31.0
Joel Embiid,6, 30.5
Jonas Valančiūnas,7, 30.2
Giannis Antetokounmpo,8, 30.0
Christian Wood,9, 29.8
Wendell Carter Jr.,10, 29.2
Kevin Love,11, 29.0
Domantas Sabonis,12, 28.7
Deandre Ayton,13, 26.3
Luka Dončić,14, 26.0
Bam Adebayo,15, 25.7
Julius Randle,16, 25.3
Kyle Kuzma,17, 24.5
Jarred Vanderbilt,18, 24.3
Jarrett Allen,19, 24.1
Mo Bamba,20, 24.1
