name,rank,value
Nikola Jokić,1, 831
Rudy Gobert,2, 750
Domantas Sabonis,3, 708
Jonas Valančiūnas,4, 688
Clint Capela,5, 684
Nikola Vučević,6, 664
Giannis Antetokounmpo,7, 646
Julius Randle,8, 639
Jusuf Nurkić,9, 619
Steven Adams,10, 615
Christian Wood,11, 608
Jarrett Allen,12, 602
Joel Embiid,13, 595
Karl-Anthony Towns,14, 583
Wendell Carter Jr.,15, 582
Bobby Portis,16, 536
Jarred Vanderbilt,16, 536
Robert Williams,18, 530
Kyle Kuzma,19, 529
Andre Drummond,20, 525
