name,rank,value
Luka Dončić,1, 37.3
Joel Embiid,2, 37.0
Giannis Antetokounmpo,3, 34.8
Trae Young,4, 34.8
Ja Morant,5, 33.7
Donovan Mitchell,6, 32.7
Jayson Tatum,7, 32.2
DeMar DeRozan,8, 31.8
Devin Booker,9, 31.8
LeBron James,10, 31.7
Nikola Jokić,11, 31.4
Kevin Durant,12, 31.0
Stephen Curry,13, 30.9
Shai Gilgeous-Alexander,14, 30.7
Bradley Beal,15, 30.7
Jaylen Brown,16, 30.3
Brandon Ingram,17, 29.4
Tyler Herro,18, 29.2
Zach LaVine,19, 29.2
De'Aaron Fox,20, 28.6
