name,rank,value
Myles Turner,1, 8.3
Jaren Jackson Jr.,2, 7.2
Robert Williams,3, 6.8
Mitchell Robinson,4, 6.4
Mo Bamba,5, 6.0
Rudy Gobert,6, 6.0
Anthony Davis,7, 5.9
Jakob Poeltl,8, 4.9
Chris Boucher,9, 4.6
Robert Covington,10, 4.5
Clint Capela,11, 4.4
Evan Mobley,12, 4.4
Al Horford,13, 4.3
Giannis Antetokounmpo,14, 4.1
Isaiah Stewart,15, 4.0
Joel Embiid,16, 3.9
Darius Bazley,17, 3.8
Matisse Thybulle,18, 3.7
Jarrett Allen,19, 3.7
Ivica Zubac,20, 3.6
