name,rank,value
Rudy Gobert,1, .729
Jarrett Allen,2, .698
Montrezl Harrell,3, .672
Ivica Zubac,4, .666
Deandre Ayton,5, .661
Nikola Jokić,6, .653
JaVale McGee,7, .651
Cameron Johnson,8, .648
Domantas Sabonis,9, .638
Karl-Anthony Towns,10, .637
Harrison Barnes,11, .635
Giannis Antetokounmpo,12, .632
Pat Connaughton,13, .630
Kevin Durant,14, .628
Mikal Bridges,15, .623
Luke Kennard,16, .618
Myles Turner,17, .615
Jeff Green,18, .614
Garrison Mathews,19, .614
LeBron James,20, .612
