name,rank,value
DeMar DeRozan,1, 597
Nikola Jokić,2, 507
Giannis Antetokounmpo,3, 502
Ja Morant,4, 456
Joel Embiid,5, 424
De'Aaron Fox,6, 417
Dejounte Murray,6, 417
Karl-Anthony Towns,8, 403
Jayson Tatum,9, 400
LeBron James,10, 389
Russell Westbrook,11, 384
Trae Young,12, 381
Domantas Sabonis,13, 377
Pascal Siakam,14, 374
Jarrett Allen,15, 368
Devin Booker,16, 366
Jonas Valančiūnas,17, 363
Miles Bridges,18, 361
Nikola Vučević,19, 359
Luka Dončić,20, 354
Julius Randle,20, 354
