name,rank,value
Steven Adams,1, 17.7
Mitchell Robinson,2, 16.2
Clint Capela,3, 14.9
Robert Williams,4, 14.4
Kevon Looney,5, 14.2
Jakob Poeltl,6, 13.8
Isaiah Stewart,7, 12.9
Rudy Gobert,8, 12.8
Ivica Zubac,9, 12.3
Jarred Vanderbilt,10, 12.1
Jarrett Allen,11, 12.0
Jusuf Nurkić,12, 11.2
Jonas Valančiūnas,13, 10.8
Dwight Powell,14, 10.8
Domantas Sabonis,15, 10.5
Chris Boucher,16, 10.4
Mason Plumlee,17, 10.3
Montrezl Harrell,18, 10.0
Nikola Jokić,19, 9.5
Precious Achiuwa,20, 9.5
