name,rank,value
Joel Embiid,1, 29.7
Giannis Antetokounmpo,2, 29.7
LeBron James,3, 29.3
DeMar DeRozan,4, 28.1
Luka Dončić,5, 28.0
Trae Young,6, 27.8
Ja Morant,7, 27.5
Jayson Tatum,8, 26.8
Nikola Jokić,9, 26.1
Stephen Curry,10, 25.8
Devin Booker,11, 25.6
Donovan Mitchell,12, 25.5
Zach LaVine,13, 24.6
Karl-Anthony Towns,14, 24.5
Shai Gilgeous-Alexander,15, 23.9
Jaylen Brown,16, 23.0
Brandon Ingram,17, 22.8
De'Aaron Fox,18, 22.7
James Harden,19, 22.5
CJ McCollum,20, 22.2
