name,rank,value
Nikola Jokić,1, .298
Giannis Antetokounmpo,2, .298
Rudy Gobert,3, .268
Joel Embiid,4, .260
Robert Williams,5, .257
Jarrett Allen,6, .236
Jimmy Butler,7, .231
Mitchell Robinson,8, .220
Montrezl Harrell,9, .216
Chris Paul,10, .214
Karl-Anthony Towns,11, .208
Deandre Ayton,12, .204
Dwight Powell,13, .203
Kevin Durant,14, .191
Kevon Looney,15, .190
Clint Capela,16, .185
Kevin Love,17, .185
LeBron James,18, .182
Ja Morant,19, .181
Ivica Zubac,20, .181
