name,rank,value
Dejounte Murray,1, 2.1
Chris Paul,2, 1.9
Gary Trent Jr.,3, 1.9
Tyrese Haliburton,4, 1.8
Marcus Smart,5, 1.7
Matisse Thybulle,6, 1.7
De'Anthony Melton,7, 1.6
Donovan Mitchell,8, 1.6
Fred VanVleet,8, 1.6
Herbert Jones,10, 1.5
Jrue Holiday,11, 1.5
Anthony Edwards,12, 1.5
LaMelo Ball,13, 1.5
LeBron James,14, 1.5
Robert Covington,15, 1.5
Chuma Okeke,16, 1.5
Jarred Vanderbilt,17, 1.4
Gary Payton II,18, 1.4
Nikola Jokić,19, 1.4
Stephen Curry,20, 1.4
