name,rank,value
Trae Young,1, 46.1
Luka Dončić,2, 45.7
Chris Paul,3, 44.5
Nikola Jokić,4, 44.2
James Harden,5, 41.3
Dejounte Murray,6, 41.1
Darius Garland,7, 39.9
LaMelo Ball,8, 34.9
Ja Morant,9, 34.3
D'Angelo Russell,10, 34.0
Giannis Antetokounmpo,11, 33.2
Kyle Lowry,12, 33.2
Josh Giddey,13, 32.8
Tyrese Haliburton,14, 32.4
Russell Westbrook,15, 32.2
Jrue Holiday,16, 31.5
Bradley Beal,17, 31.2
Shai Gilgeous-Alexander,18, 31.0
LeBron James,19, 30.9
Kevin Porter Jr.,20, 30.7
