name,rank,value
Nikola Jokić,1, 8.6
Giannis Antetokounmpo,2, 8.2
DeMar DeRozan,3, 6.6
Trae Young,4, 6.5
Joel Embiid,5, 6.4
Karl-Anthony Towns,6, 6.1
Rudy Gobert,7, 5.7
Jarrett Allen,8, 5.6
Chris Paul,9, 5.3
Robert Williams,10, 5.2
Montrezl Harrell,11, 5.2
Domantas Sabonis,12, 5.1
Jimmy Butler,13, 5.0
Harrison Barnes,14, 5.0
Ja Morant,15, 4.8
Stephen Curry,16, 4.7
Mitchell Robinson,17, 4.5
Kevin Durant,18, 4.5
LeBron James,19, 4.4
Mikal Bridges,20, 4.3
