name,rank,value
Russell Westbrook,1, 252
Trae Young,2, 239
James Harden,3, 230
Nikola Jokić,4, 225
Luka Dončić,5, 224
Julius Randle,6, 222
Darius Garland,7, 199
Stephen Curry,8, 196
LaMelo Ball,9, 195
Karl-Anthony Towns,10, 183
Giannis Antetokounmpo,10, 183
Cade Cunningham,12, 182
Domantas Sabonis,12, 182
Ja Morant,14, 181
Jayson Tatum,14, 181
Josh Giddey,16, 171
LeBron James,17, 161
Anthony Edwards,18, 159
Khris Middleton,19, 158
Joel Embiid,20, 157
