name,rank,value
Giannis Antetokounmpo,1, 32.6
Nikola Jokić,2, 32.5
Joel Embiid,3, 31.4
LeBron James,4, 26.1
Kevin Durant,5, 25.5
Ja Morant,6, 25.3
Rudy Gobert,7, 25.0
Trae Young,8, 24.9
Luka Dončić,9, 24.5
Karl-Anthony Towns,10, 24.5
Anthony Davis,11, 24.3
DeMar DeRozan,12, 24.2
Jimmy Butler,13, 23.9
Montrezl Harrell,14, 23.5
Jarrett Allen,15, 23.2
Dejounte Murray,16, 22.6
Donovan Mitchell,17, 22.2
Domantas Sabonis,18, 22.2
Robert Williams,19, 22.1
Deandre Ayton,20, 21.8
