name,rank,value
Chris Paul,1, 619
Trae Young,2, 564
Dejounte Murray,3, 545
James Harden,4, 514
Nikola Jokić,5, 485
Tyrese Haliburton,6, 483
Russell Westbrook,7, 459
LaMelo Ball,8, 437
Luka Dončić,9, 433
Darius Garland,10, 420
Kyle Lowry,11, 393
Stephen Curry,12, 388
D'Angelo Russell,13, 371
Jrue Holiday,14, 363
Fred VanVleet,14, 363
Ja Morant,16, 353
Josh Giddey,17, 345
Giannis Antetokounmpo,18, 336
Jalen Brunson,19, 335
Julius Randle,20, 330
