name,rank,value
Robert Williams,1, 101.9
Rudy Gobert,2, 102.3
Bam Adebayo,3, 103.3
Nikola Jokić,4, 103.8
Deandre Ayton,5, 103.9
Kevon Looney,6, 103.9
Al Horford,7, 104.2
Jarrett Allen,8, 104.5
Jae Crowder,9, 104.6
Joel Embiid,10, 104.7
Giannis Antetokounmpo,11, 105.0
Chris Paul,12, 105.3
Evan Mobley,13, 105.4
Luka Dončić,14, 105.4
De'Anthony Melton,15, 105.5
Jarred Vanderbilt,16, 105.8
Jayson Tatum,17, 105.9
Jaren Jackson Jr.,18, 106.0
Kevin Love,19, 106.0
Mitchell Robinson,20, 106.3
