name,rank,value
Miles Bridges,1, 2357
Mikal Bridges,2, 2309
Jayson Tatum,3, 2285
Julius Randle,4, 2265
DeMar DeRozan,5, 2231
Saddiq Bey,6, 2218
Russell Westbrook,7, 2204
Tyrese Haliburton,8, 2174
Dorian Finney-Smith,9, 2152
Harrison Barnes,10, 2142
Stephen Curry,11, 2129
Franz Wagner,12, 2118
Trae Young,13, 2082
Tyrese Maxey,14, 2058
Jalen Brunson,15, 2054
Kyle Kuzma,16, 2049
Karl-Anthony Towns,17, 2023
Fred VanVleet,18, 2018
Scottie Barnes,19, 2017
Dejounte Murray,20, 2009
