name,rank,value
Rudy Gobert,1, 25.1
Clint Capela,2, 23.6
Nikola Jokić,3, 23.2
Jusuf Nurkić,4, 21.4
Jonas Valančiūnas,5, 20.4
Domantas Sabonis,6, 19.5
Steven Adams,7, 19.3
Kevon Looney,8, 19.1
Nikola Vučević,9, 19.0
Joel Embiid,10, 18.8
Giannis Antetokounmpo,11, 18.5
Wendell Carter Jr.,12, 18.5
Mitchell Robinson,13, 18.5
Jarrett Allen,14, 18.2
Jarred Vanderbilt,15, 18.0
Deandre Ayton,16, 18.0
Ivica Zubac,17, 17.9
Christian Wood,18, 17.9
Isaiah Stewart,19, 17.7
Kevin Love,20, 17.6
