name,rank,value
DeMar DeRozan,1, 1743
Jayson Tatum,2, 1687
Trae Young,3, 1666
Giannis Antetokounmpo,4, 1661
Joel Embiid,5, 1573
Stephen Curry,6, 1572
Nikola Jokić,7, 1564
Karl-Anthony Towns,8, 1468
Ja Morant,9, 1460
Devin Booker,10, 1408
Luka Dončić,11, 1401
LeBron James,12, 1376
Donovan Mitchell,13, 1351
Zach LaVine,14, 1327
Miles Bridges,15, 1289
Julius Randle,16, 1288
De'Aaron Fox,17, 1271
Shai Gilgeous-Alexander,18, 1217
Anthony Edwards,19, 1212
Jaylen Brown,20, 1198
