name,rank,value
Rudy Gobert,1, .713
Jarrett Allen,2, .678
Deandre Ayton,3, .647
Montrezl Harrell,4, .641
Cameron Johnson,5, .620
Jakob Poeltl,6, .620
Nikola Jokić,7, .614
Domantas Sabonis,8, .603
Mikal Bridges,9, .598
Clint Capela,10, .598
Karl-Anthony Towns,11, .589
Seth Curry,12, .585
Eric Gordon,13, .584
LeBron James,14, .581
Giannis Antetokounmpo,15, .581
John Collins,16, .579
Dorian Finney-Smith,17, .574
Jrue Holiday,18, .572
Bobby Portis,19, .571
Wendell Carter Jr.,20, .570
