name,rank,value
Jayson Tatum,1, 1320
DeMar DeRozan,2, 1252
Trae Young,3, 1226
Stephen Curry,4, 1188
Devin Booker,5, 1136
Julius Randle,6, 1098
Luka Dončić,7, 1093
Ja Morant,8, 1092
Donovan Mitchell,9, 1068
Dejounte Murray,10, 1052
Nikola Jokić,11, 1043
Reggie Jackson,12, 1041
Giannis Antetokounmpo,13, 1032
Russell Westbrook,14, 1023
De'Aaron Fox,15, 1012
Joel Embiid,16, 1011
LaMelo Ball,17, 1006
Anthony Edwards,18, 1005
LeBron James,19, 1002
Miles Bridges,20, 993
