name,rank,value
Nikola Jokić,1, 8.0
Giannis Antetokounmpo,2, 6.3
Joel Embiid,3, 5.1
Luka Dončić,4, 4.5
Stephen Curry,5, 4.2
LeBron James,6, 4.2
Karl-Anthony Towns,7, 3.8
Dejounte Murray,8, 3.7
Ja Morant,9, 3.7
Jayson Tatum,10, 3.6
Chris Paul,11, 3.5
Trae Young,12, 3.5
Jimmy Butler,13, 3.4
Fred VanVleet,14, 3.3
Kevin Durant,15, 3.3
Domantas Sabonis,16, 3.1
James Harden,17, 3.0
Donovan Mitchell,18, 3.0
Rudy Gobert,19, 2.9
Robert Williams,20, 2.9
