name,rank,value
Nikola Jokić,1, 665
Rudy Gobert,2, 567
Nikola Vučević,3, 551
Giannis Antetokounmpo,4, 534
Julius Randle,5, 526
Domantas Sabonis,6, 516
Jonas Valančiūnas,7, 503
Christian Wood,8, 502
Joel Embiid,9, 489
Clint Capela,10, 470
Kyle Kuzma,11, 465
Wendell Carter Jr.,12, 457
Jusuf Nurkić,13, 452
Jayson Tatum,14, 442
Karl-Anthony Towns,15, 421
Dejounte Murray,16, 415
Luka Dončić,17, 414
Jarrett Allen,18, 410
Russell Westbrook,19, 398
Bobby Portis,20, 388
