name,rank,value
Rudy Gobert,1, .716
Jarrett Allen,2, .688
Montrezl Harrell,3, .650
Deandre Ayton,4, .648
Nikola Jokić,5, .643
Mikal Bridges,6, .632
Domantas Sabonis,7, .631
Jakob Poeltl,8, .618
LeBron James,9, .616
Wendell Carter Jr.,10, .612
Giannis Antetokounmpo,11, .612
Aaron Gordon,12, .604
Clint Capela,13, .600
John Collins,14, .587
Miles Bridges,15, .587
Jae'Sean Tate,16, .585
Karl-Anthony Towns,17, .582
LaMarcus Aldridge,18, .580
Anthony Davis,19, .578
Dorian Finney-Smith,20, .574
