name,rank,value
Robert Williams,1, 144.9
Rudy Gobert,2, 136.8
Montrezl Harrell,3, 133.0
Jarrett Allen,4, 131.8
Clint Capela,5, 130.1
Cameron Johnson,6, 127.1
Kevon Looney,7, 126.7
Mikal Bridges,8, 125.3
Nikola Jokić,9, 124.6
Steven Adams,10, 124.4
Giannis Antetokounmpo,11, 124.0
Ivica Zubac,12, 123.9
Harrison Barnes,13, 123.4
Chris Boucher,14, 123.2
Tyus Jones,15, 123.0
Chris Paul,16, 122.9
Deandre Ayton,17, 122.8
Jakob Poeltl,18, 122.7
P.J. Tucker,19, 122.6
Jimmy Butler,20, 122.4
