name,rank,value
Joel Embiid,1, 515
Giannis Antetokounmpo,2, 462
DeMar DeRozan,3, 429
Trae Young,4, 376
James Harden,5, 348
Jayson Tatum,6, 338
Jimmy Butler,7, 324
Harrison Barnes,8, 307
Karl-Anthony Towns,9, 302
Shai Gilgeous-Alexander,10, 298
Ja Morant,11, 293
Nikola Jokić,12, 283
Luka Dončić,13, 273
Stephen Curry,14, 267
Julius Randle,15, 262
Kevin Durant,16, 249
De'Aaron Fox,17, 248
Devin Booker,18, 241
Jaren Jackson Jr.,19, 237
Zach LaVine,20, 232
