name,rank,value
Dejounte Murray,1, 119
Tyrese Haliburton,2, 109
Chris Paul,3, 108
Gary Trent Jr.,4, 104
Marcus Smart,5, 97
Herbert Jones,6, 96
De'Anthony Melton,7, 94
LaMelo Ball,8, 90
Robert Covington,9, 89
Anthony Edwards,10, 86
Donovan Mitchell,11, 85
Fred VanVleet,11, 85
Jarred Vanderbilt,11, 85
Matisse Thybulle,14, 84
Stephen Curry,15, 83
Chuma Okeke,15, 83
Gary Payton II,15, 83
Jrue Holiday,18, 82
Nikola Jokić,18, 82
Jimmy Butler,20, 81
