name,rank,value
Nikola Jokić,1, 4.7
Giannis Antetokounmpo,2, 3.6
Matisse Thybulle,3, 3.1
Robert Williams,4, 2.9
Al Horford,5, 2.5
Chris Paul,6, 2.3
Bam Adebayo,7, 2.2
Jimmy Butler,8, 2.2
Jae Crowder,9, 2.1
Joel Embiid,10, 2.1
Royce O'Neale,11, 2.0
Luka Dončić,12, 1.9
De'Anthony Melton,13, 1.8
Rudy Gobert,14, 1.8
Chuma Okeke,15, 1.8
Robert Covington,16, 1.8
Dejounte Murray,17, 1.7
Marcus Smart,18, 1.6
Evan Mobley,19, 1.6
Mason Plumlee,20, 1.5
