name,rank,value
Nikola Jokić,1, 9.2
Giannis Antetokounmpo,2, 7.9
Joel Embiid,3, 7.4
Trae Young,4, 6.8
LeBron James,5, 6.4
Ja Morant,6, 6.4
Kevin Durant,7, 6.3
Luka Dončić,8, 6.0
Stephen Curry,9, 5.6
Kevin Love,10, 4.9
Karl-Anthony Towns,11, 4.8
Donovan Mitchell,12, 4.7
Jimmy Butler,13, 4.5
Fred VanVleet,14, 4.2
James Harden,15, 4.0
DeMar DeRozan,16, 3.9
Montrezl Harrell,17, 3.9
Zach LaVine,18, 3.8
Jayson Tatum,19, 3.8
Dejounte Murray,20, 3.6
